#queryIndex	queryItem	stringId	preferredName	annotation
18	SUB1	9606.ENSP00000265073	SUB1	Activated RNA polymerase II transcriptional coactivator p15; General coactivator that functions cooperatively with TAFs and mediates functional interactions between upstream activators and the general transcriptional machinery. May be involved in stabilizing the multiprotein transcription complex. Binds single-stranded DNA. Also binds, in vitro, non-specifically to double-stranded DNA (ds DNA).
20	MRPL13	9606.ENSP00000306548	MRPL13	Mitochondrial ribosomal protein L13; Belongs to the universal ribosomal protein uL13 family.
21	MS4A4A	9606.ENSP00000338648	MS4A4A	Membrane-spanning 4-domains subfamily A member 4A; May be involved in signal transduction as a component of a multimeric receptor complex.
22	MRPS28	9606.ENSP00000276585	MRPS28	Mitochondrial ribosomal protein S28; Belongs to the bacterial ribosomal protein bS1 family.
23	RSL24D1	9606.ENSP00000260443	RSL24D1	Probable ribosome biogenesis protein RLP24; Involved in the biogenesis of the 60S ribosomal subunit. Ensures the docking of GTPBP4/NOG1 to pre-60S particles (By similarity); Belongs to the eukaryotic ribosomal protein eL24 family.
24	SUB1	9606.ENSP00000265073	SUB1	Activated RNA polymerase II transcriptional coactivator p15; General coactivator that functions cooperatively with TAFs and mediates functional interactions between upstream activators and the general transcriptional machinery. May be involved in stabilizing the multiprotein transcription complex. Binds single-stranded DNA. Also binds, in vitro, non-specifically to double-stranded DNA (ds DNA).
25	COMMD6	9606.ENSP00000348054	COMMD6	COMM domain-containing protein 6; May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes. Down-regulates activation of NF- kappa-B. Inhibits TNF-induced NFKB1 activation.
26	RPL22L1	9606.ENSP00000346080	RPL22L1	Ribosomal protein L22 like 1; Belongs to the eukaryotic ribosomal protein eL22 family.
27	TSPAN2	9606.ENSP00000358529	TSPAN2	Tetraspanin-2; May play a role in signalling in oligodendrocytes in the early stages of their terminal differentiation into myelin-forming glia and may also function in stabilizing the mature sheath; Belongs to the tetraspanin (TM4SF) family.
28	TFEC	9606.ENSP00000265440	TFEC	Transcription factor EC; Transcriptional regulator that acts as a repressor or an activator. Acts as a transcriptional repressor on minimal promoter containing element F (that includes an E-box sequence). Binds to element F in an E-box sequence-specific manner. Acts as a transcriptional transactivator on the proximal promoter region of the tartrate-resistant acid phosphatase (TRAP) E-box containing promoter (By similarity). Collaborates with MITF in target gene activation (By similarity). Acts as a transcriptional repressor on minimal promoter containing mu E3 enhancer sequence (By sim [...] 
30	PRDM5	9606.ENSP00000264808	PRDM5	PR domain zinc finger protein 5; Sequence-specific DNA-binding transcription factor. Represses transcription at least in part by recruitment of the histone methyltransferase EHMT2/G9A and histone deacetylases such as HDAC1. Regulates hematopoiesis-associated protein-coding and microRNA (miRNA) genes. May regulate the expression of proteins involved in extracellular matrix development and maintenance, including fibrillar collagens, such as COL4A1 and COL11A1, connective tissue components, such as HAPLN1, and molecules regulating cell migration and adhesion, including EDIL3 and TGFB2. Ma [...] 
31	ANKRD22	9606.ENSP00000360998	ANKRD22	Ankyrin repeat domain 22.
